word	abbreviation
Abandon	ABAN
Abbreviate	ABBR
Abandoned	ABD
Ability	ABL
Abbreviation	ABR
Abbreviated	ABR
Abundance	ABUND
Accrue	ACCR
Accounting	ACCT
Accountable	ACCT
Account	ACCT
Accumulate	ACCUM
Aircraft	ACFT
Acceleration	ACLR
Accelerated	ACLR
Accelerate	ACLR
Accomplishment	ACMP
Accomplish	ACMP
Accepted	ACPT
Acceptance	ACPT
Acceptability	ACPT
Accept	ACPT
Acquisition	ACQ
Acquired	ACQ
Acquire	ACQ
Acreage	ACRE
Acre	ACRE
Acreage	ACRG
Acronym	ACRO
Accrued	ACRU
Accrual	ACRU
Accessibility	ACS
Access	ACS
Acting	ACT
Actual	ACTL
Action	ACTN
Activity	ACTV
Actively	ACTV
Active	ACTV
Activation	ACTV
Accumulator	ACUM
Accumulated	ACUM
Advertisement	AD
Advertised	AD
Added	ADD
Addendum	ADDM
Adjustment	ADJ
Adjusted	ADJ
Adjust	ADJ
Adjoining	ADJN
Adjoin	ADJN
Administrative	ADM
Administration	ADM
Administrate	ADM
Adequate	ADQ
Address	ADR
Additional	ADTL
Advance	ADV
Adverse	ADVRS
Advisor	ADVS
Affected	AFCT
Affect	AFCT
Affiliate	AFFIL
Affiliation	AFL
Affiliate	AFL
African	AFR
After	AFT
Agriculture	AG
Agency	AGCY
Aging	AGE
Aggregate	AGGR
Agency	AGN
Agent	AGNT
Agreement	AGR
Agreement	AGREE
Ahead	AHD
Adjacent	AJCN
Alaska	AK
Alphabetic	ALBT
Allelopathic	ALEPTH
Alfalfa	ALF
Alignment	ALIGN
Allocate	ALLOC
Allotment	ALLOT
Allowed	ALLOW
Allowance	ALLOW
Allowable	ALLOW
Alimony	ALMY
Alien	ALN
Alphanumeric	ALNUM
Allocation	ALOC
Allocated	ALOC
Allotment	ALOT
Allowed	ALOW
Allowance	ALOW
Alpha	ALP
Alpha	ALP
Already	ALRDY
Alongside	ALSD
Alternative	ALT
Alternate	ALT
Altered	ALT
Alley	ALY
Amendment	AMEND
Amended	AMEND
American	AMER
Amount	AMT
Amortize	AMTZ
Amortization	AMTZ
Anaerobic	ANERB
Angle	ANG
Animal	ANIM
Annual	ANL
Analyst	ANLS
Analysis	ANLS
Animal	ANML
Annual	ANN
Announcement	ANNC
Announced	ANNC
Announce	ANNC
Anniversary	ANNV
Answer	ANSR
Anticipated	ANTCP
Anticipate	ANTCP
Annuity	ANTY
Appealability	APL
Appeal	APL
Apple	APLE
Appliance	APLNC
Appointment	APNT
Applying	APP
Apply	APP
Applied	APP
Application	APP
Applicant	APP
Apply	APPL
Applicability	APPL
Application	APPLN
Applicant	APPLNT
Appointment	APPNT
Approve	APPR
Appropriation	APPRO
April	APR
Appreciation	APRC
Apportionment	APRN
Appropriation	APRO
Appraiser	APRS
Appraised	APRS
Appraisal	APRS
Apparent	APRT
Approving	APRV
Approved	APRV
Apartment	APT
Approval	APVL
Area	AR
Array	ARAY
Archival	ARCVL
Arrears	ARER
Aerial	ARL
Aromatic	AROM
Airport	ARPRT
Arrive	ARR
Arrival	ARR
Artificial	ARTFL
Asbestos	ASBST
Ascending	ASC
Aside	ASD
Asset	ASET
Assignment	ASGN
Assignee	ASGN
Assigned	ASGN
Assessment	ASMT
Associate	ASSC
Association	ASSN
Association	ASSOC
Associate	ASSOC
Assistant	ASST
Assistance	ASST
Assist	ASST
Assumption	ASUM
Assumed	ASUM
Assurance	ASUR
Attachment	ATCH
Attach	ATCH
Attempt	ATMP
Attended	ATND
Attend	ATND
Attribution	ATRB
Attribute	ATRB
Attention	ATTN
Attribute	ATTRIB
Attorney	ATTY
Attorney	ATY
Audit	AUD
August	AUG
Authorized	AUTH
Authorization	AUTH
Authority	AUTH
Automatic	AUTO
Automated	AUTO
Automate	AUTO
Auxiliary	AUX
Available	AVAIL
Average	AVG
Available	AVL
Availability	AVL
Awarded	AWRD
Award	AWRD
Barley	BA
Bagging	BAG
Balance	BAL
Barred	BAR
Barge	BARG
Basis	BAS
Basic	BAS
Batch	BAT
Budgetary	BDGT
Budget	BDGT
Before	BEF
Begun	BEG
Beginning	BEG
Begin	BEG
Beneficiary	BEN
Benefit	BENE
Bicolored	BI
Bidder	BID
Billing	BILL
Biweekly	BIWEEK
Bankruptcy	BKPT
Backup	BKUP
Bleached	BLCH
Building	BLD
Build	BLD
Blocked	BLK
Block	BLK
Black	BLK
Blind	BLND
Blended	BLND
Blank	BLNK
Bloat	BLOAT
Bloom	BLOOM
Bilateral	BLTRL
Below	BLW
Bundle	BNDL
Binder	BNDR
Benefit	BNFT
Bonus	BNS
Booked	BOOK
Borrower	BORR
Botannical	BOT
Barcode	BRCD
Branch	BRCH
Breed	BRD
Barge	BRG
Bargaining	BRGN
Bargain	BRGN
Brought	BRGT
Broken	BRK
Breakline	BRKLN
Burley	BRLY
Brown	BRN
Branch	BRNCH
Brand	BRND
Browsed	BRS
Birth	BRTH
Borrower	BRWR
Batch	BTCH
Bottom	BTM
Button	BTN
Between	BTWN
Bushels	BU
Bushel	BU
Bulblets	BULB
Bureau	BUR
Business	BUS
Buying	BUY
Buyer	BUY
Buyback	BYBK
Buydown	BYDN
Buyout	BYOT
Calendar	CAL
Calculation	CALC
Calculated	CALC
Canadian	CAN
Cancel	CANC
Capable	CAPBL
Capacity	CAPC
Co-applicant	CAPP
Carrying	CARR
Carrier	CARR
Cartridge	CART
Category	CAT
Catastrophic	CAT
Cigar Binder	CB
Cable	CBL
Caucasian	CCSN
Coding	CD
Coded	CD
Code	CD
Cardborad	CDBD
Conducted	CDCT
Ceiling	CEIL
Century	CENT
Certify	CERT
Certified	CERT
Certification	CERT
Certificate	CERT
Certificate	CERTIF
Cigar	CGR
Characteristic	CHAR
Character	CHAR
Choice	CHC
Changed	CHG
Change	CHG
Chalky	CHKY
Child	CHLD
Chalky	CHLK
Chain	CHN
Channel	CHNL
Chair	CHR
Charged	CHRG
Charge	CHRG
Cohort	CHRT
Chart	CHRT
Chattel	CHTL
Charter	CHTR
Check	CK
Check	CK
Clause	CL
Claim	CLM
Climatic	CLMT
Cleanliness	CLN
Clean	CLN
Client	CLNT
Collocated	CLOC
Clearance	CLR
Clerk	CLRK
Classing	CLS
Classifier	CLS
Classification	CLS
Class	CLS
Closing	CLSE
Closed	CLSE
Cluster	CLSTR
Collateral	CLTRL
Cultivar	CLTVR
Combined	CMB
Combine	CMB
Combination	CMB
Commercial	CMCL
Command	CMD
Commodity	CMDY
Comfort	CMFT
Common	CMN
Comment	CMNT
Community	CMNY
Comply	CMPL
Compliance	CMPL
Complete	CMPLT
Component	CMPOENT
Comparison	CMPR
Compared	CMPR
Compare	CMPR
Compression	CMPRS
Computer	CMPT
Computed	CMPT
Computation	CMPT
Commission	CMSN
Committing	CMT
Commitment	CMT
Commit	CMT
Committee	CMTE
Cotton	CN
Coordinate	CN
Cancellation	CNCL
Canceled	CNCL
Cancel	CNCL
Concept	CNCPT
Concurs	CNCR
Concurred	CNCR
Concern	CNCRN
Connection	CNCT
Connect	CNCT
Concatenation	CNCT
Concatenate	CNCT
Configuration	CNFG
Conference	CNFR
Confirmation	CNFRM
Canola	CNLA
Canopy	CNPY
Consecutive	CNSC
Consignee	CNSGN
Comsumption	CNSM
Comsumed	CNSM
Concession	CNSN
Constant	CNST
Constituent	CNSTNT
Conserving	CNSV
Conservation	CNSV
Counter	CNT
Count	CNT
Contact	CNTCT
Contaminant	CNTM
Content	CNTNT
Contractor	CNTRCT
Contract	CNTRCT
County	CNTY
Convert	CNVRSN
Conversion	CNVRSN
Convey	CNVY
Company	CO
Column	COL
Collection	COLL
Collected	COLL
Collect	COLL
Color	COLOR
Color	COLR
Communicate	COM
Comment	COM
Combine	COMB
Communication	COMM
Commodity	COMM
Commitment	COMMIT
Common	COMN
Compensatory	COMP
Compensation	COMP
Compensation	COMPE
Compliance	COMPL
Comparative	COMPR
Compromise	COMPRM
Compress	COMPRS
Commercial	COMRCL
Committee	COMTE
Community	COMUN
Concentration	CONC
Conclusion	CONCL
Concluded	CONCL
Conclude	CONCL
Concentration	CONCTRN
Conditional	COND
Condition	COND
Configuration	CONFIG
Congressional	CONG
Congressional	CONGR
Congress	CONGR
Consolidation	CONS
Consolidated	CONS
Conserving	CONSV
Conserve	CONSV
Continuous	CONT
Continued	CONT
Continue	CONT
Contribute	CONTRB
Cooperative	COOP
Cooperate	COOP
Coppice	COPPICE
Copies	COPY
Copier	COPY
Corrective	COR
Correction	COR
Corrected	COR
Correct	COR
Corporation	CORP
Corporate	CORP
Correct	CORR
Capability	CPBL
Cropland	CPLD
Completion	CPLT
Complete	CPLT
Complexity	CPLX
Component	CPNT
Compromised	CPRM
Compromise	CPRM
Capital	CPTL
Creditor	CR
Credit	CR
Circumference	CRCF
Circumstances	CRCM
Circumference	CRCM
Circuit	CRCT
Currency	CRCY
Creation	CRE
Created	CRE
Create	CRE
Career	CRER
Cargo	CRG
Critical	CRIT
Criteria	CRIT
Crambe	CRMB
Cropped	CROP
Cropland	CRPLND
Cross	CRS
Coarse	CRS
Course	CRSE
Crush	CRSH
Correspond	CRSP
Crosswalk	CRSWK
Carryover	CRVR
Carryover	CRYOVR
Crystal	CRYST
Considered	CSDN
Consideration	CSDN
Cause	CSE
Cosigner	CSGN
Cosign	CSGN
Consolidation	CSLD
Consolidated	CSLD
Conspicuous	CSPC
Cost	CST
Coastal	CST
Coast	CST
Custodian	CSTD
Constituent	CSTN
Construction	CSTR
Constraint	CSTR
Court	CT
Counter	CT
Count	CT
Contingent	CTGT
Controlled	CTL
Control	CTL
Catalog	CTLG
Cotton	CTN
Container	CTNR
Cutoff	CTOF
Contractor	CTR
Contract	CTR
Central	CTR
Center	CTR
Contribution	CTRB
Contributed	CTRB
Contrasting	CTRST
Controvert	CTRV
Controversial	CTRV
Country	CTRY
County	CTY
Citizenship	CTZN
Cubic	CU
Cubic	CU
Cumulative	CUML
Cumulate	CUML
Current	CUR
Cured	CURE
Current	CURR
Customer	CUST
Conviction	CVCT
Convict	CVCT
Civil	CVL
Covered	CVR
Coverage	CVR
Cover	CVR
Conversation	CVRS
Convertible	CVRT
Converted	CVRT
Convert	CVRT
Conversion	CVSN
Hundredweight	CWT
Cycle	CYC
Cyclical	CYCL
Cycle	CYCL
Combined Yield	CYLD
Deactivation	DACTV
Disadvantaged	DADVG
Disadvantage	DADVG
Damage	DAMG
Disapproved	DAPRV
Disassociate	DASSC
Debit	DB
Database	DB
Double	DBL
Debarrment	DBRMT
Discharge	DCHG
Discolored	DCLR
Declared	DCLR
Declaration	DCLR
Decombination	DCMB
Discontinue	DCONT
Decrease	DCR
Discrepancy	DCRP
Decision	DCSN
Discovery	DCVR
Deduction	DDCT
Debtor	DEBT
Debtor	DEBTR
December	DEC
Decombination	DECOMB
Decrease	DECR
Deceased	DECSED
Dedicated	DED
Deduction	DEDTN
Definition	DEF
Defined	DEF
Defect	DEF
Deficiency	DEFIC
Definition	DEFN
Deletion	DEL
Deleted	DEL
Delete	DEL
Delinquent	DELQ
Delivery	DELVR
Deliver	DELVR
Demonstrate	DEMO
Density	DEN
Denied	DENY
Deposit	DEP
Dependent	DEPND
Depend	DEPND
Depositor	DEPSTR
Departmental	DEPT
Department	DEPT
Descriptive	DESC
Description	DESC
Described	DESC
Describe	DESC
Designate	DESIG
Destination	DEST
Destroy	DESTRY
Detailed	DET
Detail	DET
Defect	DFCT
Deficiency	DFCY
Default	DFLT
Deferred	DFR
Defraud	DFRD
Deferral	DFRL
Diagram	DGM
Digital	DGT
Digit	DGT
Dehulled	DHL
Diameter	DIAM
Diameter	DIAM
Different	DIF
Difference	DIF
Differential	DIFF
Difference	DIFF
Dimension	DIM
Director	DIR
Direction	DIR
Direct	DIR
Disaster	DISA
Disapproval	DISAPPR
Disbursement	DISB
Disburse	DISB
Discount	DISC
Discolor	DISCOLR
Disposition	DISP
Disposed	DISP
Disposal	DISP
Display	DISP
Displace	DISP
Disposed	DISPO
District	DIST
Distance	DIST
Distributor	DISTD
Distributed	DISTD
Division	DIV
Diversion	DIVRN
Delegator	DLGT
Delegated	DLGT
Delegate	DLGT
Dollar	DLR
Dealer	DLR
Delivery	DLVR
Delay	DLY
Daily	DLY
Damaged	DMG
Damage	DMG
Domain	DMN
Demand	DMND
Dominant	DMNT
Demarcation	DMRC
Demerge	DMRG
Demurrage	DMUR
Download	DNLD
Denominator	DNMTR
Donation	DNT
Donated	DNT
Deobligation	DOBL
Deobligate	DOBL
Documentation	DOC
Document	DOC
Dockage	DOCK
Domestic	DOM
Downloaded	DOWNLD
Display	DPLY
Dependent	DPND
Depreciation	DPRC
Depart	DPT
Depth	DPTH
Downpayment	DPYMT
Debit	DR
Draft	DRFT
Draft	DRFT
Drought	DRGHT
Duration	DRTN
Drive	DRV
Derivation	DRV
Dairy	DRY
Disabled	DSBL
Disability	DSBL
Descending	DSC
Disclaimer	DSCL
Discrepancy	DSCRPY
Deceased	DSD
Design	DSGN
Design	DSGN
Designation	DSGT
Designated	DSGT
Diskette	DSKT
Diskette	DSKT
Disk	DSKT
Dissolve	DSLV
Dispute	DSPT
Desired	DSR
Desire	DSR
Desired	DSRD
Distribution	DSTR
Distributing	DSTR
Distributed	DSTR
Disaster	DSTR
Destroyed	DSTR
Destroy	DSTR
Date	DT
Determined	DTER
Determine	DTER
Determination	DTER
Detriment	DTRM
Durum	DU
Duplication	DUP
Duplicate	DUP
Device	DVC
Development	DVLP
Diversion	DVRS
Diverted	DVRT
Divert	DVRT
Deviation	DVT
Dwelling	DWLG
Daylight	DYLT
Earned	EARN
Eastern	EAST
Education	EDU
Efficiency	EFCY
Efficiency	EFF
Effective	EFF
Effect	EFF
Effort	EFRT
Eight	EGT
Elapse	ELAP
Election	ELCT
Elected	ELCT
Elect	ELCT
Elderly	ELDR
Element	ELE
Electronic	ELEC
Eligible	ELG
Eligibility	ELG
Eligibility	ELIG
Elapsed	ELPS
Elapse	ELPS
Eleven	ELVN
Embassy	EMBSY
Emergency	EMER
Emergency	EMERG
Eminent	EMNT
Employment	EMP
Employee	EMP
Enable	ENBL
Enclosure	ENCL
Encryption	ENCRP
Encrypted	ENCRP
Encrypt	ENCRP
Ending	END
Endangered	ENDGR
Endanger	ENDGRD
Enduring	ENDR
Endorsement	ENDRS
Engineering	ENG
Engaged	ENG
Enhancement	ENHC
Enhance	ENHC
Enhancement	ENHNC
Enrollment	ENRL
Enrolled	ENROLL
Enroute	ENRT
Entry	ENT
Entitlement	ENTL
Enterprise	ENTP
Entry	ENTR
Entered	ENTR
Enter	ENTR
Entity	ENTY
Environment	ENVLP
Envelope	ENVLP
Environmental	ENVR
Environment	ENVR
Equal	EQ
Equipment	EQP
Equation	EQTN
Equity	EQTY
Equivalent	EQUIV
Equivalent	EQV
Ergoty	ERGOT
Ergot	ERGT
Early	ERLY
Earmark	ERMK
Erodible	EROD
Erodibility	EROD
Error	ERR
Erosion	ERSN
Erucic	ERUC
Escrow	ESCR
Easement	ESMT
Essential	ESNL
Estimated	EST
Estate	EST
Establishment	ESTB
Established	ESTB
Establish	ESTB
Estimate	ESTI
Ethnicity	ETHNC
Evaluation	EVAL
Eviction	EVCT
Evicted	EVCT
Evict	EVCT
Evidence	EVD
Evidence	EVID
Event	EVNT
Examiner	EXAM
Examine	EXAM
Examination	EXAM
Exhibit	EXBT
Exceeds	EXCD
Exceeded	EXCD
Exceed	EXCD
Exchange	EXCH
Excise	EXCIS
Exclude	EXCL
Exception	EXCP
Exception	EXCPTN
Excessive	EXCS
Excess	EXCS
Executor	EXE
Execution	EXE
Executing	EXE
Executable	EXE
Executor	EXEC
Execute	EXEC
Exhausted	EXHST
Exempt	EXMP
Exposure	EXP
Expense	EXP
Expenditure	EXP
Expected	EXP
Expect	EXP
Expansion	EXPAN
Expandable	EXPAN
Expected	EXPD
Expire	EXPIR
Explanation	EXPL
Explain	EXPL
Expended	EXPN
Expiring	EXPR
Expired	EXPR
Expire	EXPR
Expiration	EXPR
Experience	EXPRC
Experimental	EXPRM
Experiment	EXPRMNT
Expression	EXPS
Exported	EXPT
Export	EXPT
Excess	EXS
Existing	EXST
Existence	EXST
Exist	EXST
Extent	EXT
Extension	EXT
Extended	EXT
Extend	EXTD
External	EXTL
Extent	EXTN
